T(K),a,da/dT
26.3835,0,0
26.3835,0,0
26.3835,0,0
26.3835,0,0
26.4848,-1.56E-05,1.56E-05
26.9913,-9.37E-05,7.81E-05
28.1056,-0.000265606,0.000171863
31.6511,-0.000812442,0.000546836
42.1863,-0.002437327,0.001624885
63.0541,0.004590074,0.0070274
78.9582,0.002137123,0.002452951
83.5167,0.001434048,0.000703075
83.2128,0.00148092,4.69E-05
82.9089,0.001527791,4.69E-05
82.9089,0.001527791,0
83.2128,0.00148092,4.69E-05
83.8206,0.001387176,9.37E-05
84.7323,0.001246561,0.000140615
87.1635,0.000871588,0.000374973
95.6727,-0.000440819,0.001312407
110.3612,0.007539639,0.007980458
120.9977,0.00589913,0.001640508
124.8471,0.005305422,0.000593708
125.9614,0.015379481,0.010074059
126.5692,0.015285738,9.37E-05
127.177,0.015191995,9.37E-05
128.4939,0.014988884,0.000203111
133.255,0.014254561,0.000734323
145.1071,0.022672488,0.008417926
158.3774,0.020625758,0.00204673
166.4814,0.019375847,0.001249911
170.6347,0.028981189,0.009605342
172.762,0.028653087,0.000328102
174.4841,0.028387481,0.000265606
177.3205,0.027950012,0.000437469
182.7907,0.027106322,0.00084369
190.8947,0.036102333,0.00899601
199.9104,0.034711807,0.001390526
208.217,0.033430648,0.001281159
214.295,0.032493214,0.000937433
218.347,0.031868259,0.000624956
223.412,0.041332986,0.009464727
227.464,0.04070803,0.000624956
233.542,0.039770597,0.000937433
240.633,0.038676925,0.001093672
246.711,0.037739491,0.000937433
252.789,0.036802058,0.000937433
258.867,0.035864624,0.000937433
263.932,0.045329351,0.009464727
270.01,0.044391918,0.000937433
277.101,0.043298246,0.001093672
278.114,0.043142007,0.000156239
281.153,0.04267329,0.000468717
283.179,0.042360812,0.000312478
285.205,0.042048335,0.000312478
287.231,0.041735857,0.000312478
289.257,0.051669301,0.009933444
291.283,0.051356823,0.000312478
293.309,0.051044345,0.000312478
295.335,0.050731867,0.000312478
297.361,0.050419389,0.000312478
299.387,0.050106912,0.000312478
301.413,0.060040355,0.009933444
303.439,0.059727878,0.000312478
305.465,0.069661321,0.009933444
307.491,0.069348844,0.000312478
309.517,0.079282287,0.009933444
311.543,0.089215731,0.009933444
314.582,0.098992936,0.009777205
316.608,0.119172302,0.020179365
318.634,0.129105745,0.009933444
319.647,0.139195428,0.010089683
322.686,0.148972633,0.009777205
324.712,0.158906077,0.009933444
326.738,0.16883952,0.009933444
328.764,0.178772964,0.009933444
330.79,0.19895233,0.020179365
332.816,0.208885773,0.009933444
334.842,0.218819217,0.009933444
336.868,0.218506739,0.000312478
338.894,0.228440183,0.009933444
340.92,0.238373627,0.009933444
342.946,0.248307071,0.009933444
344.972,0.258240515,0.009933444
346.998,0.268173958,0.009933444
349.024,0.278107402,0.009933444
