T(K),a,da/dT
25.9783,0,0
25.9783,-0.000365279,0.000365279
25.877,-0.000365279,0
25.9783,-0.000363855,1.42437E-06
26.0796,-3.65E-04,1.42E-06
26.5861,-0.000366704,1.42437E-06
27.7004,-0.000373826,7.12187E-06
30.5368,-0.000389494,1.56681E-05
38.6408,-0.000429376,3.98825E-05
55.9631,0.009741385,0.010170761
70.6516,0.009497817,0.000243568
75.0075,0.009291283,0.000206534
75.7166,0.009230035,6.12E-05
76.2231,0.009220064,9.97061E-06
77.0335,0.009212942,7.12187E-06
77.9452,0.009201547,1.1395E-05
78.8569,0.019473439,0.010271891
81.1868,0.019460619,1.28194E-05
89.1895,0.019427859,3.27606E-05
101.9533,0.029600044,0.010172185
110.7664,0.029420573,0.000179471
115.3249,0.029296653,0.00012392
117.2496,0.029232556,6.40968E-05
118.6678,0.039490204,0.010257648
120.4912,0.039470262,1.99412E-05
124.4419,0.039444624,2.56387E-05
131.7355,0.049673784,0.01022916
141.9668,0.049571229,0.000102555
150.476,0.059712078,0.010140849
156.554,0.059592431,0.000119647
160.4034,0.069791679,0.010199248
163.9489,0.069737553,5.41262E-05
169.5204,0.079972411,0.010234858
173.4711,0.07989407,7.83405E-05
180.1569,0.07983852,5.55506E-05
187.8557,0.090029222,0.010190702
195.048,0.08992097,0.000108252
201.0247,0.10010455,0.01018358
207.204,0.100020512,8.4038E-05
212.269,0.099933625,8.68868E-05
217.334,0.110147117,0.010213492
223.412,0.110075899,7.12187E-05
229.49,0.109990436,8.54624E-05
236.581,0.120189685,0.010199248
242.659,0.120089979,9.97061E-05
248.737,0.120004516,8.54624E-05
254.815,0.119919054,8.54624E-05
260.893,0.130118302,0.010199248
266.971,0.13003284,8.54624E-05
272.036,0.129947377,8.54624E-05
279.127,0.129876159,7.12187E-05
285.205,0.129776453,9.97061E-05
291.283,0.12969099,8.54624E-05
297.361,0.139890239,0.010199248
303.439,0.139804776,8.54624E-05
309.517,0.139719314,8.54624E-05
315.595,0.149918562,0.010199248
321.673,0.160117811,0.010199248
324.712,0.160032348,8.54624E-05
326.738,0.159989617,4.27312E-05
327.751,0.170245841,0.010256223
330.79,0.170231597,1.42437E-05
332.816,0.180473576,0.01024198
334.842,0.1907298,0.010256223
336.868,0.190701312,2.84875E-05
338.894,0.200957536,0.010256223
342.946,0.22149847,0.020540934
344.972,0.231726206,0.010227736
346.998,0.25226714,0.020540934
349.024,0.262523363,0.010256223
351.05,0.272779587,0.010256223
354.089,0.272751099,2.84875E-05
355.102,0.282993079,0.01024198
358.141,0.293263546,0.010270467
360.167,0.303505526,0.01024198
362.193,0.313761749,0.010256223
364.219,0.324017972,0.010256223
366.245,0.334274196,0.010256223
368.271,0.334245708,2.84875E-05
370.297,0.344501932,0.010256223
372.323,0.354758155,0.010256223
374.349,0.365014378,0.010256223
377.388,0.375270602,0.010256223
378.401,0.375227871,4.27312E-05
381.44,0.385498338,0.010270467
383.466,0.395740317,0.01024198
385.492,0.405996541,0.010256223
387.518,0.416252764,0.010256223
389.544,0.416224277,2.84875E-05
391.57,0.4264805,0.010256223
393.596,0.436736723,0.010256223
395.622,0.436708236,2.84875E-05
397.648,0.446964459,0.010256223
399.674,0.446935972,2.84875E-05
401.7,0.457192195,0.010256223
404.739,0.467448418,0.010256223
406.765,0.467405687,4.27312E-05
408.791,0.477661911,0.010256223
410.817,0.477633423,2.84875E-05
412.843,0.487889647,0.010256223
414.869,0.487861159,2.84875E-05
416.895,0.498117382,0.010256223
418.921,0.498088895,2.84875E-05
420.947,0.508345118,0.010256223
422.973,0.518601342,0.010256223
426.012,0.518572854,2.84875E-05
428.038,0.518530123,4.27312E-05
429.051,0.528786346,0.010256223
431.077,0.528772103,1.42437E-05
433.103,0.539028326,0.010256223
436.142,0.538999839,2.84875E-05
437.155,0.549241818,0.01024198
440.194,0.549227574,1.42437E-05
